2018-11-10 18:04:22,976 - jnordin - INFO - Cutting down alert info to subset with nrefframes keyword
2018-11-10 18:04:24,523 - jnordin - INFO - There were 250 candidates reported 2018-11-09
2018-11-10 18:04:28,104 - jnordin - INFO - Out of these 22 already have Marshal type and will be skipped.
2018-11-10 18:04:33,680 - jnordin - INFO - 34 have a catalog z larger than 0.1  and will be skipped.
2018-11-10 18:06:22,364 - jnordin - INFO - Out of these 22 already have Marshal type and will be skipped.
2018-11-10 18:06:25,549 - jnordin - INFO - 39 have a catalog z larger than 0.1 or are qsos and will be skipped.
2018-11-10 18:06:32,257 - jnordin - INFO - Detected 12 already saved candidates and 177 new
2018-11-10 18:06:48,006 - jnordin - INFO - 2018-11-09: Skipping ZTF18acgjesp, less than 4 detections
2018-11-10 18:06:48,013 - jnordin - INFO - 2018-11-09: Skipping ZTF18abslcjp, less than 4 detections
2018-11-10 18:06:48,015 - jnordin - INFO - 2018-11-09: Skipping ZTF18aceaetd, less than 4 detections
2018-11-10 18:06:48,018 - jnordin - INFO - 2018-11-09: Skipping ZTF18abtzyna, never reached limit 19.5
2018-11-10 18:06:48,024 - jnordin - INFO - 2018-11-09: Skipping ZTF18acfxusi, less than 4 detections
2018-11-10 18:06:48,029 - jnordin - INFO - 2018-11-09: Skipping ZTF18acggomv, less than 4 detections
2018-11-10 18:06:48,031 - jnordin - INFO - 2018-11-09: Skipping ZTF18abnzgvi, less than 4 detections
2018-11-10 18:06:48,034 - jnordin - INFO - 2018-11-09: Skipping ZTF18abtslka, less than 4 detections
2018-11-10 18:06:48,037 - jnordin - INFO - 2018-11-09: Skipping ZTF18acglfwv, less than 4 detections
2018-11-10 18:06:48,046 - jnordin - INFO - 2018-11-09: Skipping ZTF18acgeeiz, less than 4 detections
2018-11-10 18:06:48,048 - jnordin - INFO - 2018-11-09: Skipping ZTF18abwtmla, less than 4 detections
2018-11-10 18:06:48,051 - jnordin - INFO - 2018-11-09: Skipping ZTF18acgprib, less than 4 detections
2018-11-10 18:06:48,055 - jnordin - INFO - 2018-11-09: Skipping ZTF18acbzmfz, less than 4 detections
2018-11-10 18:06:48,061 - jnordin - INFO - 2018-11-09: Skipping ZTF18aboemtu, less than 4 detections
2018-11-10 18:06:48,064 - jnordin - INFO - 2018-11-09: Skipping ZTF18accngmn, less than 4 detections
2018-11-10 18:06:48,067 - jnordin - INFO - 2018-11-09: Skipping ZTF18abzzebd, less than 4 detections
2018-11-10 18:06:48,069 - jnordin - INFO - 2018-11-09: Skipping ZTF17aaazbbb, less than 4 detections
2018-11-10 18:06:48,073 - jnordin - INFO - 2018-11-09: Skipping ZTF18acdnlgu, less than 4 detections
2018-11-10 18:06:48,079 - jnordin - INFO - 2018-11-09: Skipping ZTF18abtrwby, less than 4 detections
2018-11-10 18:06:48,081 - jnordin - INFO - 2018-11-09: Skipping ZTF18aabrtpy, less than 4 detections
